Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Chemical Synaptic Transmission (GO:0007268)	10/273	1.578372e-14	4.482578e-12	0	0	8.330376e+01	2.647377e+03	GABRA2;SNAP25;GRIN2A;DLG2;SYT1;GABRA5;GAD1;GAD2;SLC17A7;GRIN2B
GO_Biological_Process_2023	Anterograde Trans-Synaptic Signaling (GO:0098916)	7/199	3.955072e-10	5.616203e-08	0	0	6.012283e+01	1.301710e+03	SNAP25;GRIN2A;DLG2;SYT1;GAD1;GAD2;GRIN2B
GO_Biological_Process_2023	Regulation Of Postsynaptic Membrane Potential (GO:0060078)	4/35	2.988537e-08	2.829148e-06	0	0	1.716129e+02	2.973347e+03	GABRA2;GRIN2A;GABRA5;GRIN2B
GO_Biological_Process_2023	Neurotransmitter Transport (GO:0006836)	4/52	1.529550e-07	1.085980e-05	0	0	1.107389e+02	1.737839e+03	GABRA2;SNAP25;SYT1;SLC17A7
GO_Biological_Process_2023	Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)	4/55	1.923439e-07	1.092513e-05	0	0	1.042092e+02	1.611488e+03	GRIN2A;RELN;SYT1;GRIN2B
GO_Biological_Process_2023	Positive Regulation Of Synaptic Transmission (GO:0050806)	4/77	7.531940e-07	3.565118e-05	0	0	7.272329e+01	1.025321e+03	GRIN2A;RELN;SYT1;GRIN2B
GO_Biological_Process_2023	Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)	3/22	1.106569e-06	3.928321e-05	0	0	1.969934e+02	2.701616e+03	GRIN2A;RELN;GRIN2B
GO_Biological_Process_2023	Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463)	3/22	1.106569e-06	3.928321e-05	0	0	1.969934e+02	2.701616e+03	GRIN2A;RELN;GRIN2B
GO_Biological_Process_2023	Synaptic Transmission, Glutamatergic (GO:0035249)	3/27	2.095481e-06	6.612408e-05	0	0	1.559141e+02	2.038690e+03	GRIN2A;SLC17A7;GRIN2B
GO_Biological_Process_2023	Modulation Of Excitatory Postsynaptic Potential (GO:0098815)	3/31	3.212529e-06	9.123584e-05	0	0	1.336138e+02	1.690008e+03	GRIN2A;RELN;GRIN2B
GO_Biological_Process_2023	Positive Regulation Of Signal Transduction (GO:0009967)	5/266	4.000801e-06	1.010335e-04	0	0	2.698413e+01	3.353861e+02	GRIN2A;RELN;LAMA2;BDNF;GRIN2B
GO_Biological_Process_2023	Regulation Of Neuronal Synaptic Plasticity (GO:0048168)	3/34	4.269022e-06	1.010335e-04	0	0	1.206653e+02	1.491921e+03	GRIN2A;CAMK2A;GRIN2B
GO_Biological_Process_2023	Gamma-Aminobutyric Acid Metabolic Process (GO:0009448)	2/5	8.535344e-06	1.731455e-04	0	0	7.834510e+02	9.143887e+03	GAD1;GAD2
GO_Biological_Process_2023	Glutamate Catabolic Process (GO:0006538)	2/5	8.535344e-06	1.731455e-04	0	0	7.834510e+02	9.143887e+03	GAD1;GAD2
GO_Biological_Process_2023	Excitatory Chemical Synaptic Transmission (GO:0098976)	2/6	1.279582e-05	2.422675e-04	0	0	5.875588e+02	6.619668e+03	GRIN2A;GRIN2B
GO_Biological_Process_2023	Protein Tetramerization (GO:0051262)	3/73	4.334539e-05	7.693807e-04	0	0	5.333304e+01	5.358002e+02	KCNC1;AQP4;GRIN2B
GO_Biological_Process_2023	Chloride Transport (GO:0006821)	3/77	5.085723e-05	8.496150e-04	0	0	5.044003e+01	4.986748e+02	GABRA2;GABRA5;SLC17A7
GO_Biological_Process_2023	Ionotropic Glutamate Receptor Signaling Pathway (GO:0035235)	2/12	5.611129e-05	8.853115e-04	0	0	2.349529e+02	2.299760e+03	GRIN2A;GRIN2B
GO_Biological_Process_2023	Synaptic Transmission, GABAergic (GO:0051932)	2/14	7.727816e-05	1.155105e-03	0	0	1.957745e+02	1.853612e+03	GABRA2;GABRA5
GO_Biological_Process_2023	Monoatomic Cation Transmembrane Transport (GO:0098655)	4/281	1.251736e-04	1.673478e-03	0	0	1.896895e+01	1.704514e+02	GRIN2A;KCNC1;GRIN2B;KCNK2
