Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824)	4/40	5.200646e-08	3.276407e-06	0	0	1.477407e+02	2.477893e+03	GABRA2;GRIN2A;GABRA5;GRIN2B
GO_Molecular_Function_2023	Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:0099529)	3/21	9.562455e-07	2.670766e-05	0	0	2.079479e+02	2.882210e+03	GABRA2;GRIN2A;GRIN2B
GO_Molecular_Function_2023	Ligand-Gated Monoatomic Ion Channel Activity (GO:0015276)	3/23	1.271793e-06	2.670766e-05	0	0	1.871344e+02	2.540365e+03	GABRA2;GABRA5;GRIN2B
GO_Molecular_Function_2023	Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315)	3/34	4.269022e-06	6.723710e-05	0	0	1.206653e+02	1.491921e+03	GABRA2;GRIN2A;GRIN2B
GO_Molecular_Function_2023	NMDA Glutamate Receptor Activity (GO:0004972)	2/7	1.790406e-05	2.255911e-04	0	0	4.700235e+02	5.137584e+03	GRIN2A;GRIN2B
GO_Molecular_Function_2023	Chloride Channel Activity (GO:0005254)	3/64	2.919349e-05	2.681066e-04	0	0	6.122951e+01	6.393319e+02	GABRA2;GABRA5;SLC17A7
GO_Molecular_Function_2023	Benzodiazepine Receptor Activity (GO:0008503)	2/9	3.065806e-05	2.681066e-04	0	0	3.356975e+02	3.488775e+03	GABRA2;GABRA5
GO_Molecular_Function_2023	Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099507)	2/10	3.830095e-05	2.681066e-04	0	0	2.937206e+02	2.987149e+03	GABRA5;GRIN2B
GO_Molecular_Function_2023	Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005230)	2/10	3.830095e-05	2.681066e-04	0	0	2.937206e+02	2.987149e+03	GABRA2;GABRA5
GO_Molecular_Function_2023	GABA-gated Chloride Ion Channel Activity (GO:0022851)	2/12	5.611129e-05	3.535011e-04	0	0	2.349529e+02	2.299760e+03	GABRA2;GABRA5
GO_Molecular_Function_2023	Inhibitory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005237)	2/13	6.627587e-05	3.795800e-04	0	0	2.135829e+02	2.055027e+03	GABRA2;GABRA5
GO_Molecular_Function_2023	Syntaxin-1 Binding (GO:0017075)	2/16	1.017901e-04	4.932904e-04	0	0	1.677899e+02	1.542425e+03	SNAP25;SYT1
GO_Molecular_Function_2023	Ionotropic Glutamate Receptor Activity (GO:0004970)	2/16	1.017901e-04	4.932904e-04	0	0	1.677899e+02	1.542425e+03	GRIN2A;GRIN2B
GO_Molecular_Function_2023	Ligand-Gated Calcium Channel Activity (GO:0099604)	2/18	1.296356e-04	5.104403e-04	0	0	1.468015e+02	1.313988e+03	GRIN2A;GRIN2B
GO_Molecular_Function_2023	Ligand-Gated Monoatomic Anion Channel Activity (GO:0099095)	2/18	1.296356e-04	5.104403e-04	0	0	1.468015e+02	1.313988e+03	GABRA2;GABRA5
GO_Molecular_Function_2023	GABA-A Receptor Activity (GO:0004890)	2/18	1.296356e-04	5.104403e-04	0	0	1.468015e+02	1.313988e+03	GABRA2;GABRA5
GO_Molecular_Function_2023	GABA Receptor Activity (GO:0016917)	2/21	1.776296e-04	6.582743e-04	0	0	1.236037e+02	1.067418e+03	GABRA2;GABRA5
GO_Molecular_Function_2023	Lipoprotein Particle Receptor Binding (GO:0070325)	2/27	2.958889e-04	9.320501e-04	0	0	9.391059e+01	7.630730e+02	RELN;SYT1
GO_Molecular_Function_2023	Voltage-Gated Monoatomic Ion Channel Activity (GO:0005244)	2/27	2.958889e-04	9.320501e-04	0	0	9.391059e+01	7.630730e+02	GRIN2A;GRIN2B
GO_Molecular_Function_2023	Carboxy-Lyase Activity (GO:0016831)	2/27	2.958889e-04	9.320501e-04	0	0	9.391059e+01	7.630730e+02	GAD1;GAD2
GO_Molecular_Function_2023	Inorganic Cation Transmembrane Transporter Activity (GO:0022890)	2/35	4.993126e-04	1.497938e-03	0	0	7.111586e+01	5.406426e+02	GRIN2A;GRIN2B
GO_Molecular_Function_2023	Syntaxin Binding (GO:0019905)	2/53	1.144674e-03	3.277931e-03	0	0	4.597463e+01	3.113694e+02	SNAP25;SYT1
GO_Molecular_Function_2023	Amyloid-Beta Binding (GO:0001540)	2/79	2.521966e-03	6.514628e-03	0	0	3.041100e+01	1.819404e+02	GRIN2A;GRIN2B
